Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C210, C211, C403",0603,5,1u,CC0603KRX5R6BB105
"C103, C104, C106, C107, C108",0805,5,22u,CC0805KRX5R6BB225
C105,0402,1,DNP,
"C109, C203, C204, C206, C207, C208, C212, C213, C304, C307, C308, C309, C310, C315, C402, C407",0402,16,100n,CC0402KRX5R6BB104
"C201, C301, C302, C305, C306, C312, C401",0603,7,10u,
"C202, C205",0402,2,10p,
"C209, L101, L201",0402,3,10n,
"C303, C314, C316, C406",0402,4,150p,
"C311, C313, C404, C405",0402,4,1n,
D101,0603,1,3.3V,
D102,0603,1,3.3VA,
"D201, D202, D203, D204, D205, D301, D401",D_SOD-323,7,"PESD3V3L1BA,115",
D206,LED_Cree-PLCC4_2x2mm_CW,1,LED_RGB_E6C1206RGBC3UDA,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad,4,GND,
J201,PinHeader_2x05_P1.27mm_Vertical_SMD,1,2x5 1.27mm,
J202,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
"J301, J401",AMPHENOL-BNC-031-5640-1010,2,031-5640-1010,
L102,MWSA0603S,1,68u,
L202,CMC-1206,1,CMF3216F-900-2P-T,
R101,0805,1,10R,
R102,0402,1,464k,
R103,0402,1,100k,
"R104, R105, R106, R107, R209, R210, R211, R302, R309, R310",0402,10,1k,
"R201, R202, R208, R402",0402,4,10k,
"R203, R306, R401",0402,3,0R,
"R204, R205, R206, R207, R406",0402,5,49R9,
R212,0402,1,1k5,
"R213, R214",0402,2,5k1,
R301,0805,1,49R9,
"R303, R304",0402,2,2M2,
"R305, R403",0402,2,6k8,
"R307, R404",0402,2,22k,
"R308, R405",0402,2,12k,
TP102,TestPoint_Pad_D1.0mm,1,5V,
TP103,TestPoint_Pad_D1.0mm,1,3.3V,
TP104,TestPoint_Pad_D1.0mm,1,3.3VA,
TP105,TestPoint_Pad_D1.0mm,1,VCOM,
U101,SOT-23-5,1,TLV62569DBV,
U102,SOT-89-3,1,HT7533-1,
"U103, U302, U304, U402",SOT-23-5,4,MCP6001T-E/OT,
U201,LQFP-48_7x7mm_P0.5mm,1,STM32F103CBT6,
U202,SOT-23-6,1,USBLC6-2SC6,
U301,SOT-23,1,REF3033AIDBZT,
U303,VSSOP-10,1,ADC141S626CIMM_NOPB,
U401,VSSOP-10,1,DAC7563SDGSR,
Y201,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
