Designator,Mid X,Mid Y,Rotation,Layer
C101,53.95,-26.05,270.0,top
C102,52.2,-26.05,270.0,top
C103,43.75,-10.75,270.0,top
C104,50.75,-10.75,270.0,top
C105,47.25,-14.37,180.0,top
C106,31.75,-42.5,180.0,top
C107,28.75,-46.25,90.0,top
C108,31.3,-56.0,180.0,top
C109,35.75,-51.25,90.0,top
C201,21.75,-18.3,90.0,top
C202,19.3,-19.8,180.0,top
C203,23.2,-18.5,90.0,top
C204,31.75,-27.8,180.0,top
C205,17.23,-19.8,0.0,top
C206,35.25,-18.8,270.0,top
C207,26.75,-15.8,0.0,top
C208,17.1,-11.7,180.0,top
C209,23.2,-22.85,90.0,top
C210,21.75,-23.3,90.0,top
C211,19.75,-23.3,90.0,top
C212,5.75,-14.8,0.0,top
C213,54.1,-18.27,0.0,top
C301,4.55,-31.65,180.0,top
C302,6.75,-46.0,180.0,top
C303,19.3,-54.4,90.0,top
C304,20.95,-54.9,180.0,top
C305,9.75,-37.5,270.0,top
C306,9.75,-41.5,90.0,top
C307,11.15,-37.5,270.0,top
C308,11.15,-41.5,90.0,top
C309,20.0,-48.1,0.0,top
C310,12.0,-35.5,180.0,top
C311,15.0,-53.0,270.0,top
C312,11.75,-34.0,180.0,top
C313,15.5,-51.5,0.0,top
C314,10.1,-51.0,90.0,top
C315,16.7,-48.3,270.0,top
C316,13.05,-44.1,0.0,top
C401,44.0,-34.0,180.0,top
C402,44.25,-35.5,180.0,top
C403,43.0,-37.75,270.0,top
C404,47.3,-46.3,0.0,top
C405,45.0,-48.5,180.0,top
C406,50.1,-49.9,0.0,top
C407,43.8,-51.7,90.0,top
D101,55.6,-10.75,90.0,top
D102,36.25,-46.25,270.0,top
D201,26.9,-3.6,270.0,top
D202,28.7,-7.8,0.0,top
D203,25.3,-10.1,0.0,top
D204,21.9,-10.1,180.0,top
D205,18.5,-10.1,180.0,top
D206,6.0,-17.3,90.0,top
D301,18.1,-57.8,0.0,top
D401,49.0,-57.8,0.0,top
J201,21.9,-4.5,270.0,top
J202,62.4,-21.3,90.0,top
J301,17.0,-62.0,180.0,top
J401,48.0,-62.0,180.0,top
L101,53.1,-23.8,180.0,top
L102,47.25,-4.75,0.0,top
L201,20.75,-25.55,180.0,top
L202,48.65,-20.8,180.0,top
R101,32.7,-39.5,270.0,top
R102,47.25,-13.12,180.0,top
R103,45.0,-13.12,180.0,top
R104,57.35,-11.0,90.0,top
R105,37.75,-46.0,270.0,top
R106,34.25,-54.25,180.0,top
R107,31.75,-54.25,180.0,top
R201,35.25,-25.2,90.0,top
R202,28.5,-15.5,90.0,top
R203,17.23,-21.05,180.0,top
R204,28.2,-9.4,180.0,top
R205,24.68,-11.7,180.0,top
R206,22.5,-11.7,180.0,top
R207,19.1,-11.7,0.0,top
R208,26.3,-27.8,0.0,top
R209,9.0,-15.8,180.0,top
R210,9.0,-19.05,180.0,top
R211,9.0,-17.3,180.0,top
R212,44.3,-19.9,270.0,top
R213,60.5,-27.4,180.0,top
R214,60.5,-15.3,180.0,top
R301,5.3,-34.4,270.0,top
R302,17.0,-55.4,270.0,top
R303,18.1,-54.4,270.0,top
R304,22.0,-53.7,0.0,top
R305,16.6,-52.6,0.0,top
R306,14.0,-32.1,90.0,top
R307,13.75,-52.0,270.0,top
R308,11.8,-51.5,0.0,top
R309,12.3,-45.75,270.0,top
R310,13.8,-45.75,270.0,top
R401,46.0,-32.0,270.0,top
R402,46.0,-44.0,0.0,top
R403,45.09,-46.3,180.0,top
R404,46.8,-48.0,90.0,top
R405,48.6,-48.5,180.0,top
R406,47.9,-53.75,90.0,top
U101,47.25,-10.75,180.0,top
U102,32.75,-46.25,0.0,top
U103,33.0,-51.75,0.0,top
U201,29.25,-21.8,0.0,top
U202,53.65,-20.8,180.0,top
U301,6.75,-43.25,180.0,top
U302,20.5,-50.75,90.0,top
U303,13.25,-39.5,0.0,top
U304,13.95,-49.1,0.0,top
U401,45.5,-39.5,0.0,top
U402,46.6,-50.9,180.0,top
Y201,18.25,-17.3,180.0,top
